objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
1,YTan_1,,,The Start- The First Dragon,Amelia Eldridge,"Feb. 6, 2020",My trip started with me feeling like a dragon spirit. I was hoping to meet a real Welsh fire breathing dragon!,Papercut on Rice Paper,"Y Ferwig, Wales and my dreams",,,,,,image/jpg,,,
2,YTan_2,,,Storm Ciara- Arriving Like a Dragon,Amelia Eldridge,"Feb. 7/8, 2020","It was said the worst storm in 100 years to hit the UK made land fall the day I got there. I mean literally the rain from the storm started just as I got to my hotel. There were many power outages, due to the wind some trainlines were actually down the entire month I was there. I often thought about if I had left even a day later-my trip would have been really different.  I really felt that I blew in like a dragon. ",Papercut on Rice Paper,"Cardiff and Y Ferwig, Wales",,,,,,image/jpg,,,
3,YTan_3,,,Meeting a Mermaid,Amelia Eldridge,"Feb. 9, 2020","The day after the storm, I was picked up in Carmarthen,which was where I was staying. The first thing we did when I got to Createspace was to go for a walk along the coastal cliffs. I had never experienced such intense rain and wind- I thought I was going to fly off the cliffs and the water was wild from the storm. So, when I got back to the residency I knew I had to make a stormy mermaid.",Papercut on Rice Paper,"Y Ferwig and Mwnt Beach, Wales",,,,,,image/jpg,,,
4,YTan_4,,,Rain to Waves,Amelia Eldridge,"Feb. 9, 2020","This image depicts the transtion from the dragon to the rain, clouds, and heavy winds that caused the crashing waves on the cliffs.",Papercut on Rice Paper,"Y Ferwig and Mwnt Beach, Wales",,,,,,image/jpg,,,
5,YTan_5,,,Meeting a Mermaid-Detail,Amelia Eldridge,"Feb. 9, 2020","Detail image of the mermaid meeting, while the scroll is hung from the rafters of the converted studio.",Papercut on Rice Paper,"Y Ferwig and Mwnt Beach, Wales",,,,,,image/jpg,,,
6,YTan_6,,,Y Gwynt- The Wind,Amelia Eldridge,Feb./March 2020,"The wind, which translates to 'y gwynt' in Welsh was my constant companion. The wind always had something to say- along with the dragons of course. Before leaving for Wales, I found and fell in love with a poem called Y Gwynt by the Welsh poet Dafydd Ap Gwilym. I hung both the Welsh and English version on my studio walls. I enjoyed thinking about dragons riding the wind.",Papercut on Rice Paper,"Y Ferwig, Wales",,,,,,image/jpg,,,
7,YTan_7,,,First Suspension,Amelia Eldridge,Feb. 2020,This was the first time I suspended the scroll piece from the studio rafters. I hung it with logwood silk dyed ribbons that I had brought. The studio light was particularly bright and beautiful that day.,"Papercut on Rice Paper, Light, and Air","Y Ferwig, Wales",,,,,,image/jpg,,,
8,YTan_8,,,Sleeping Baby Dragon,Amelia Eldridge,Feb./March 2020,I think this is my favorite dragon on the scroll. Sheep are absolutely everywhere in Wales. I happened to be there at the time the baby lambs were born. There was a working farm next to the residency. When I first got there the baby lambs were in the barn. But by the end of my time the lambs had come out with their mommas. They played and jumped in the field out back. It was such a joy to watch them. So of course I cut a baby dragon sleeping with lambs in the sun. ,Papercut on Rice Paper,"Y Ferwig, Wales",,,,,,image/jpg,,,
9,YTan_9,,,The Naiad of Rhaeadr Peiran,Amelia Eldridge,"Feb. 11, 2020",I took a tour of the Cambrian Mountains through a touring company called Cambrian Safaris. Richard the tour guide took me on a tour in his Land Rover. One of the places he took me was the Hafod Estate. He took me on a short walk to Rhaeadr (waterfall in Welsh) Peiran. I believe I met a naiad there. ,Papercut on Rice Paper,"Hafod Estate, Wales",,,,,,image/jpg,,,
10,YTan_10,,,A Naiad Bathing Under the Waterfall,Amelia Eldridge,"Feb. 11, 2020",The naiad I met bathes under the falling water of Rhaeadr Peiran. I dipped some moss I found along the walk in the water and kept it as a memorium of her energy.,"Papercut on Rice Paper, Black Tea Dyed Muslin","Hafod Estate, Wales",,,,,,image/jpg,,,
